taxon,clade,clade2,
Phuwiangosaurus,Sauropodomorpha,,
Probactrosaurus_gobiensis,Ornithischia,,
Probactrosaurus_mazongshanensis,Ornithischia,,
Siamotyrannus,Theropoda,,
Atlasaurus,Sauropodomorpha,,
Dubreuillosaurus,Theropoda,,
Epidexipteryx,Theropoda,,
Megalosaurus,Theropoda,,
Proceratosaurus,Theropoda,,
Echinodon_becklesii,Ornithischia,,
Nqwebasaurus,Theropoda,,
Paranthodon_africanus,Ornithischia,,
Psittacosaurus_mongoliensis,Ornithischia,,
Shanag,Theropoda,,
Ferganasaurus,Sauropodomorpha,,
Monolophosaurus,Theropoda,,
Achelousaurus_horneri,Ornithischia,,
Acristavus_gagslarsoni,Ornithischia,,
Aeolosaurus_maximus,Sauropodomorpha,,
Aeolosaurus_rionegrinus,Sauropodomorpha,,
Aeolosaurus_sp.,Sauropodomorpha,,
Agujaceratops_mariscalensis,Ornithischia,,
Alamosaurus,Sauropodomorpha,,
Albertosaurus,Theropoda,,
Appalachiosaurus,Theropoda,,
Apsaravis,Theropoda,,
Austroraptor,Theropoda,,
Avimimus,Theropoda,,
Bagaceratops_rozhdestvenskyi,Ornithischia,,
Bambiraptor,Theropoda,,
Baptornis_varneri,Theropoda,,
Brachylophosaurus_canadensis,Ornithischia,,
Byronosaurus,Theropoda,,
Carnotaurus,Theropoda,,
Centrosaurus_apertus,Ornithischia,,
Cerasinops_hodgskissi,Ornithischia,,
Conchoraptor,Theropoda,,
Daspletosaurus,Theropoda,,
Dromaeosaurus,Theropoda,,
Dyoplosaurus_acutesquamous,Ornithischia,,
Edmontonia_longiceps,Ornithischia,,
Einiosaurus_procurvicornis,Ornithischia,,
Erliansaurus,Theropoda,,
Gigantoraptor,Theropoda,,
Gobipteryx,Theropoda,,
Gorgosaurus,Theropoda,,
Gryposaurus_latidens,Ornithischia,,
Gryposaurus_notabilis,Ornithischia,,
Hanssuesia_sternbergi,Ornithischia,,
Hollanda,Theropoda,,
Hypacrosaurus_stebingeri,Ornithischia,,
IGM100/1126,Theropoda,,
IGM100/1323,Theropoda,,
Ingenia,Theropoda,,
Lirainosaurus,Sauropodomorpha,,
Maiasaura_peeblesorum,Ornithischia,,
Micropachycephalosaurus_hongtuyanensis,Ornithischia,,
Minotaurasaurus_ramachandrani,Ornithischia,,
Nanshiungosaurus,Theropoda,,
Neimongosaurus,Theropoda,,
Orodromeus_makelai,Ornithischia,,
Parvicursor,Theropoda,,
Pinacosaurus_grangeri,Ornithischia,,
Prenoceratops_pieganensis,Ornithischia,,
Saichania_chulsanensis,Ornithischia,,
Saurornitholestes,Theropoda,,
Shantungosaurus_giganteus,Ornithischia,,
Stegoceras_validum,Ornithischia,,
Struthiomimus,Theropoda,,
Tanius_sinensis,Ornithischia,,
Tarbosaurus,Theropoda,,
Tarchia_gigantea,Ornithischia,,
Tarchia_kielanae,Ornithischia,,
Tsaagan,Theropoda,,
Tsintaosaurus_spinorhinus,Ornithischia,,
Tylocephale_gilmorei,Ornithischia,,
Udanoceratops_tschizhovi,Ornithischia,,
Velociraptor,Theropoda,,
Zhuchengceratops_inexpectus,Ornithischia,,
Chromogisaurus,Sauropodomorpha,,
Diodorus_scytobrachion,Dinosauromorpha,,
Dromomeron_gregorii,Dinosauromorpha,,
Eoraptor,Theropoda,,
Herrerasaurus,Theropoda,,
Pisanosaurus_mertii,Ornithischia,,
Silesaurus_opolensis,Dinosauromorpha,,
Staurikosaurus,Theropoda,,
Achillobator,Theropoda,,
Argyrosaurus,Sauropodomorpha,,
Crichtonsaurus_benxiensis,Ornithischia,,
