occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no
387073,occ,,,36972,Asiatosaurus sp.,genus,38704,nomen dubium,Sauropoda,unranked clade,38653,Aptian,,125,113,9884
387341,occ,10492,,37005,n. gen. Opisthocoelicaudia n. sp. skarzynskii,species,57335,,Opisthocoelicaudia skarzynskii,species,57335,Campanian,Maastrichtian,83.6,66,9904
387796,occ,,,37077,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Maastrichtian,,72.1,66,9947
388971,occ,,,37199,Lirainosaurus astibiae,species,65827,,Lirainosaurus astibiae,species,65827,Late Campanian,,83.5,70.6,9559
388982,occ,,,28765,Lirainosaurus astibiae,species,65827,,Lirainosaurus astibiae,species,65827,Late Campanian,,83.5,70.6,9559
391677,occ,15694,,37596,cf. Camarasauridae indet.,family,38696,,Camarasauridae,family,38696,Callovian,,166.1,163.5,16510
391693,occ,,,37597,Sauropoda indet.,unranked clade,38653,,Sauropoda,unranked clade,38653,Callovian,,166.1,163.5,10054
395216,occ,,,38020,Brachiosauridae indet.,family,38673,,Brachiosauridae,family,38673,Late Barremian,Aptian,130,113,10133
395364,occ,,,38041,Titanosaurus ? n. sp. rahioliensis,species,56941,nomen dubium,Titanosaurus,genus,38694,Maastrichtian,,72.1,66,10153
396090,occ,,F,38074,cf. Sphaerovum erbeni,species,56970,nomen dubium,Sphaerovum,genus,56949,Cretaceous,,145,66,10218
