identified_name,identified_rank,difference,accepted_name,accepted_rank,early_interval,late_interval,max_ma,min_ma
Megaloolithus n. sp. phensaniensis,species,subjective synonym of,Megaloolithus_mohabeyi,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus petralta,species,,Megaloolithus_petralta,species,Early Maastrichtian,,70.6,66
,,,,,,,,
Megaloolithus problematica,species,,Megaloolithus_problematica,species,Maastrichtian,,72.1,66
,,,,,,,,
Megaloolithus siruguei,species,,Megaloolithus_siruguei,species,Late Maastrichtian,,70.6,66
,,,,,,,,
Megaloolithus n. sp. walpurensis,species,,Megaloolithus_walpurensis,species,Maastrichtian,,72.1,66
,,,,,,,,
n. gen. Mendozasaurus n. sp. neguyelap,species,,Mendozasaurus_neguyelap,species,Middle Coniacian,Late Coniacian,89.3,85.8
,,,,,,,,
n. gen. Microdontosaurus n. sp. dayensis,species,,Microdontosaurus_dayensis,species,Middle Jurassic,,174.1,163.5
,,,,,,,,
n. gen. Mierasaurus n. sp. bobyoungi,species,,Mierasaurus_bobyoungi,species,Barremian,,129.4,125
,,,,,,,,
n. gen. Mnyamawamtuka n. sp. moyowamkia,species,,Mnyamawamtuka_moyowamkia,species,Aptian,Cenomanian,125,93.9
,,,,,,,,
n. gen. Moabosaurus n. sp. utahensis,species,,Moabosaurus_utahensis,species,Early Aptian,,125.45,122.46
,,,,,,,,
n. gen. Mongolosaurus n. sp. haplodon,species,,Mongolosaurus_haplodon,species,Aptian,Albian,125,100.5
,,,,,,,,
Morosaurus n. sp. agilis,species,,Morosaurus_agilis,species,Kimmeridgian,Tithonian,157.3,145
,,,,,,,,
n. gen. Muyelensaurus n. sp. pecheni,species,,Muyelensaurus_pecheni,species,Late Coniacian,Early Santonian,89.3,83.5
,,,,,,,,
n. gen. Narambuenatitan n. sp. palomoi,species,,Narambuenatitan_palomoi,species,Early Campanian,Middle Campanian,83.5,70.6
,,,,,,,,
n. gen. Nebulasaurus n. sp. taito,species,,Nebulasaurus_taito,species,Aalenian,Bajocian,174.1,168.3
,,,,,,,,
